chrI	1807	2169	-1	YAL068C	PAU8
chrI	7235	9016	-1	YAL067C	SEO1
chrI	21566	21850	1	YAL064W
chrI	24000	27968	-1	YAL063C	FLO9
chrI	31567	32940	1	YAL062W	GDH3
chrI	35155	36303	1	YAL060W	BDH1
chrI	36509	37147	1	YAL059W	ECM1
chrI	37464	38972	1	YAL058W	CNE1
chrI	39259	41901	1	YAL056W	GPB2
chrI	42177	42719	1	YAL055W	PEX22
chrI	42881	45022	-1	YAL054C	ACS1
chrI	45899	48250	1	YAL053W	FLC2
chrI	48564	51707	1	YAL051W	OAF1
chrI	51855	52595	-1	YAL049C	AIM2
chrI	52801	54789	-1	YAL048C	GEM1
chrI	54989	56857	-1	YAL047C	SPC72
chrI	57029	57385	-1	YAL046C	BOL3
chrI	57518	57850	1	YAL044W-A	BOL1
chrI	57950	58462	-1	YAL044C	GCV3
chrI	58695	61052	-1	YAL043C	PTA1
chrI	61316	62563	1	YAL042W	ERV46
chrI	62840	65404	1	YAL041W	CDC24
chrI	65778	67520	-1	YAL040C	CLN3
chrI	68716	69525	-1	YAL039C	CYC3
chrI	71786	73288	1	YAL038W	CDC19
chrI	75043	76152	-1	YAL036C	RBG1
chrI	76427	79435	1	YAL035W	FUN12
chrI	79718	80587	1	YAL034W-A	MTW1
chrI	80710	81951	-1	YAL034C	FUN19
chrI	82706	83227	1	YAL033W	POP5
chrI	83335	84474	-1	YAL032C	PRP45
chrI	84749	87031	-1	YAL031C	GIP4
chrI	87286	87752	1	YAL030W	SNC1
chrI	87855	92270	-1	YAL029C	MYO4
chrI	92900	94486	1	YAL028W	FRT2
chrI	94687	95472	1	YAL027W	SAW1
chrI	95630	99697	-1	YAL026C	DRS2
chrI	100225	101145	-1	YAL025C	MAK16
chrI	101565	105872	-1	YAL024C	LTE1
chrI	106272	108551	-1	YAL023C	PMT2
chrI	108877	110430	-1	YAL022C	FUN26
chrI	110846	113359	-1	YAL021C	CCR4
chrI	113614	114615	-1	YAL020C	ATS1
chrI	114919	118314	1	YAL019W	FUN30
chrI	118564	119541	-1	YAL018C	LDS1
chrI	120225	124295	1	YAL017W	PSK1
chrI	124879	126786	1	YAL016W	TPD3
chrI	126903	128102	-1	YAL015C	NTG1
chrI	128252	129019	-1	YAL014C	SYN8
chrI	129270	130487	1	YAL013W	DEP1
chrI	130799	131983	1	YAL012W	CYS3
chrI	132199	134076	1	YAL011W	SWC3
chrI	134184	135665	-1	YAL010C	MDM10
chrI	135854	136633	1	YAL009W	SPO7
chrI	136914	137510	1	YAL008W	FUN14
chrI	137698	138345	-1	YAL007C	ERP2
chrI	139503	141431	-1	YAL005C	SSA1
chrI	142174	143160	1	YAL003W	EFB1
chrI	143707	147531	1	YAL002W	VPS8
chrI	147594	151166	-1	YAL001C	TFC3
chrI	152257	153876	1	YAR002W	NUP60
chrI	154065	154724	-1	YAR002C-A	ERP1
chrI	155005	156285	1	YAR003W	SWD1
chrI	156754	158619	-1	YAR007C	RFA1
chrI	158966	159793	1	YAR008W	SEN34
chrI	166742	168871	-1	YAR014C	BUD14
chrI	169375	170295	1	YAR015W	ADE1
chrI	170396	171703	-1	YAR018C	KIN3
chrI	172211	175135	-1	YAR019C	CDC15
chrI	176856	177023	-1	YAR020C	PAU7
chrI	183770	184477	1	YAR027W	UIP3
chrI	186836	187732	1	YAR031W	PRM9
chrI	188107	188811	1	YAR033W	MST28
chrI	190193	192256	1	YAR035W	YAT1
chrI	192619	196185	1	YAR042W	SWH1
chrI	203403	208016	1	YAR050W	FLO1
chrI	225460	226863	1	YAR071W	PHO11
chrII	2907	5009	-1	YBL111C
chrII	7605	7733	-1	YBL108C-A	PAU9
